frame,phase,state,detected,total_us,acquire_us,border_us,threshold_us,morphology_us,blobs_us,track_us,control_us,roi_w,roi_h,border,err,left,right
202,busca,SEARCHING,0,535,0,0,104,358,72,0,0,320,240,0,0.0000,0.480,-0.480
203,busca,SEARCHING,0,521,0,0,98,355,67,0,0,320,240,0,0.0000,0.480,-0.480
204,busca,SEARCHING,0,520,0,0,98,355,67,0,0,320,240,0,0.0000,0.480,-0.480
205,busca,SEARCHING,0,519,0,0,99,353,67,0,0,320,240,0,0.0000,0.480,-0.480
206,busca,SEARCHING,0,519,0,0,99,353,66,1,0,320,240,0,0.0000,0.480,-0.480
207,busca,SEARCHING,0,499,0,0,98,337,64,0,0,320,240,0,0.0000,0.480,-0.480
208,busca,SEARCHING,0,498,0,0,94,339,64,0,0,320,240,0,0.0000,0.480,-0.480
209,busca,SEARCHING,0,498,0,0,95,339,63,0,0,320,240,0,0.0000,0.480,-0.480
210,busca,SEARCHING,0,498,0,0,97,336,65,0,0,320,240,0,0.0000,0.480,-0.480
211,busca,SEARCHING,0,495,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
212,busca,SEARCHING,0,496,0,0,95,337,64,0,0,320,240,0,0.0000,0.480,-0.480
213,busca,SEARCHING,0,496,0,0,95,336,64,0,0,320,240,0,0.0000,0.480,-0.480
214,busca,SEARCHING,0,498,0,0,94,337,65,0,1,320,240,0,0.0000,0.480,-0.480
215,busca,SEARCHING,0,497,0,0,94,339,64,0,0,320,240,0,0.0000,0.480,-0.480
216,busca,SEARCHING,0,500,0,0,94,341,64,0,0,320,240,0,0.0000,0.480,-0.480
217,busca,SEARCHING,0,498,0,0,97,337,64,0,0,320,240,0,0.0000,0.480,-0.480
218,busca,SEARCHING,0,495,0,0,95,336,64,0,0,320,240,0,0.0000,0.480,-0.480
219,busca,SEARCHING,0,496,0,0,95,337,64,0,0,320,240,0,0.0000,0.480,-0.480
220,busca,SEARCHING,0,495,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
221,busca,SEARCHING,0,514,0,0,94,353,67,0,0,320,240,0,0.0000,0.480,-0.480
222,busca,SEARCHING,0,497,0,0,94,339,63,0,0,320,240,0,0.0000,0.480,-0.480
223,busca,SEARCHING,0,497,0,0,94,339,64,0,0,320,240,0,0.0000,0.480,-0.480
224,busca,SEARCHING,0,497,0,0,96,337,64,0,0,320,240,0,0.0000,0.480,-0.480
225,busca,SEARCHING,0,493,0,0,93,336,64,0,0,320,240,0,0.0000,0.480,-0.480
226,busca,SEARCHING,0,495,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
227,busca,SEARCHING,0,496,0,0,95,336,65,0,0,320,240,0,0.0000,0.480,-0.480
228,busca,SEARCHING,0,497,0,0,94,337,66,0,0,320,240,0,0.0000,0.480,-0.480
229,busca,SEARCHING,0,497,0,0,94,339,64,0,0,320,240,0,0.0000,0.480,-0.480
230,busca,SEARCHING,0,498,0,0,95,339,64,0,0,320,240,0,0.0000,0.480,-0.480
231,busca,SEARCHING,0,499,0,0,97,337,64,0,0,320,240,0,0.0000,0.480,-0.480
232,busca,SEARCHING,0,495,0,0,94,337,63,0,0,320,240,0,0.0000,0.480,-0.480
233,busca,SEARCHING,0,494,0,0,94,336,63,0,0,320,240,0,0.0000,0.480,-0.480
234,busca,SEARCHING,0,492,0,0,94,334,64,0,0,320,240,0,0.0000,0.480,-0.480
235,busca,SEARCHING,0,494,0,0,94,336,64,0,0,320,240,0,0.0000,0.480,-0.480
236,busca,SEARCHING,0,497,0,0,94,339,64,0,0,320,240,0,0.0000,0.480,-0.480
237,busca,SEARCHING,0,497,0,0,94,339,64,0,0,320,240,0,0.0000,0.480,-0.480
238,busca,SEARCHING,0,495,0,0,95,336,63,0,0,320,240,0,0.0000,0.480,-0.480
239,busca,SEARCHING,0,495,0,0,95,336,64,0,0,320,240,0,0.0000,0.480,-0.480
240,busca,SEARCHING,0,495,0,0,94,337,63,0,0,320,240,0,0.0000,0.480,-0.480
241,busca,SEARCHING,0,495,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
242,busca,SEARCHING,0,497,0,0,94,339,64,0,0,320,240,0,0.0000,0.480,-0.480
243,busca,SEARCHING,0,497,0,0,94,339,64,0,0,320,240,0,0.0000,0.480,-0.480
244,busca,SEARCHING,0,496,0,0,92,340,64,0,0,320,240,0,0.0000,0.480,-0.480
245,busca,SEARCHING,0,504,0,0,95,344,65,0,0,320,240,0,0.0000,0.480,-0.480
246,busca,SEARCHING,0,503,0,0,95,340,67,1,0,320,240,0,0.0000,0.480,-0.480
247,busca,SEARCHING,0,539,0,0,99,370,70,0,0,320,240,0,0.0000,0.480,-0.480
248,busca,SEARCHING,0,576,0,0,108,393,75,0,0,320,240,0,0.0000,0.480,-0.480
249,busca,SEARCHING,0,616,0,0,124,411,81,0,0,320,240,0,0.0000,0.480,-0.480
250,busca,SEARCHING,0,629,0,0,122,424,83,0,0,320,240,0,0.0000,0.480,-0.480
251,busca,SEARCHING,0,617,0,0,116,422,78,0,0,320,240,0,0.0000,0.480,-0.480
252,busca,SEARCHING,0,641,0,0,122,436,83,0,0,320,240,0,0.0000,0.480,-0.480
253,busca,SEARCHING,0,686,0,0,130,468,88,0,0,320,240,0,0.0000,0.480,-0.480
254,busca,SEARCHING,0,681,0,0,130,463,88,0,0,320,240,0,0.0000,0.480,-0.480
255,busca,SEARCHING,0,644,0,0,126,436,82,0,0,320,240,0,0.0000,0.480,-0.480
256,busca,SEARCHING,0,608,0,0,115,415,78,0,0,320,240,0,0.0000,0.480,-0.480
257,busca,SEARCHING,0,613,0,0,116,419,78,0,0,320,240,0,0.0000,0.480,-0.480
258,busca,SEARCHING,0,601,0,0,116,411,74,0,0,320,240,0,0.0000,0.480,-0.480
259,busca,SEARCHING,0,576,0,0,109,393,74,0,0,320,240,0,0.0000,0.480,-0.480
260,busca,SEARCHING,0,576,0,0,109,393,74,0,0,320,240,0,0.0000,0.480,-0.480
261,busca,SEARCHING,0,544,0,0,104,370,70,0,0,320,240,0,0.0000,0.480,-0.480
262,busca,SEARCHING,0,544,0,0,104,370,70,0,0,320,240,0,0.0000,0.480,-0.480
263,busca,SEARCHING,0,527,0,0,98,356,73,0,0,320,240,0,0.0000,0.480,-0.480
264,busca,SEARCHING,0,526,0,0,107,353,66,0,0,320,240,0,0.0000,0.480,-0.480
265,busca,SEARCHING,0,553,0,0,104,375,74,0,0,320,240,0,0.0000,0.480,-0.480
266,busca,SEARCHING,0,604,0,0,109,412,83,0,0,320,240,0,0.0000,0.480,-0.480
267,busca,SEARCHING,0,580,0,0,110,396,73,0,0,320,240,0,0.0000,0.480,-0.480
268,busca,SEARCHING,0,571,0,0,110,391,70,0,0,320,240,0,0.0000,0.480,-0.480
